core_regfile
Pin,Type,Name,Side
1,input,clk,left
2,input,rst_n,left
3,input,rd_latch,left
4,input,i_re1,left
5,input,i_raddr1,left
6,output,o_rdata1,right
7,input,i_re2,left
8,input,i_raddr2,left
9,output,o_rdata2,right
10,input,i_forward1,left
11,input,i_faddr1,left
12,input,i_fdata1,left
13,input,i_forward2,left
14,input,i_faddr2,left
15,input,i_fdata2,left
16,input,i_we,left
17,input,i_waddr,left
18,input,i_wdata,left
