dual_read_port_ram_32x32
Pin,Type,Name,Side
1,input,clk,left
2,input,i_we,left
3,input,i_waddr,left
4,input,i_wdata,left
5,input,i_raddr1,left
6,output,o_rdata1,right
7,input,i_raddr2,left
8,output,o_rdata2,right
