soc_top
Pin,Type,Name,Side
4,input,clk,left
5,input,isp_uart_rx,left
6,output,isp_uart_tx,right
7,output,vga_hsync,right
8,output,vga_vsync,right
9,output,vga_red,right
10,output,vga_green,right
11,output,vga_blue,right
